time,car_sst
1997-02-01,26.313885
1997-03-01,26.4078
1997-04-01,27.021442
1997-05-01,27.730764
1997-06-01,28.269943
1997-07-01,28.551226
1997-08-01,28.762232
1997-09-01,28.913673
1997-10-01,28.675297
1997-11-01,28.193363
1997-12-01,27.749208
1998-01-01,27.200289
1998-02-01,27.067976
1998-03-01,27.083244
1998-04-01,27.51127
1998-05-01,28.146225
1998-06-01,28.89385
1998-07-01,28.889397
1998-08-01,29.25525
1998-09-01,29.10718
1998-10-01,28.748283
1998-11-01,28.13051
1998-12-01,27.314417
1999-01-01,26.786709
1999-02-01,26.21907
1999-03-01,26.517757
1999-04-01,27.049307
1999-05-01,27.895716
1999-06-01,28.151453
1999-07-01,28.198162
1999-08-01,28.82178
1999-09-01,29.007038
1999-10-01,28.408754
1999-11-01,27.830679
1999-12-01,26.93936
2000-01-01,26.161192
2000-02-01,25.958706
2000-03-01,26.031494
2000-04-01,26.645216
2000-05-01,27.547436
2000-06-01,27.750826
2000-07-01,28.106815
2000-08-01,28.486311
2000-09-01,28.748045
2000-10-01,28.698795
2000-11-01,28.113924
2000-12-01,27.310486
2001-01-01,26.560703
2001-02-01,26.225777
2001-03-01,26.395319
2001-04-01,26.896107
2001-05-01,27.41396
2001-06-01,27.918524
2001-07-01,28.371326
2001-08-01,28.759151
2001-09-01,28.85389
2001-10-01,28.612556
2001-11-01,27.857021
2001-12-01,27.375013
2002-01-01,26.815104
2002-02-01,26.459408
2002-03-01,26.601181
2002-04-01,27.087044
2002-05-01,27.721453
2002-06-01,28.113926
2002-07-01,28.286316
2002-08-01,28.832504
2002-09-01,28.947908
2002-10-01,28.74063
2002-11-01,28.305159
2002-12-01,27.656235
2003-01-01,26.984798
2003-02-01,26.892708
2003-03-01,27.242336
2003-04-01,27.489128
2003-05-01,27.937899
2003-06-01,28.204554
2003-07-01,28.208416
2003-08-01,28.740782
2003-09-01,28.953308
2003-10-01,29.0082
2003-11-01,28.432138
2003-12-01,27.478794
2004-01-01,26.827885
2004-02-01,26.845364
2004-03-01,26.73297
2004-04-01,27.331854
2004-05-01,27.524313
2004-06-01,28.020638
2004-07-01,28.321009
2004-08-01,28.708815
2004-09-01,28.901842
2004-10-01,28.904022
2004-11-01,28.125372
2004-12-01,27.413874
2005-01-01,26.596205
2005-02-01,26.303436
2005-03-01,26.979479
2005-04-01,27.581785
2005-05-01,28.19099
2005-06-01,28.877155
2005-07-01,28.960354
2005-08-01,29.2148
2005-09-01,29.405247
2005-10-01,28.843367
2005-11-01,28.233517
2005-12-01,27.378588
2006-01-01,26.764725
2006-02-01,26.419094
2006-03-01,26.601336
2006-04-01,27.301535
2006-05-01,27.898098
2006-06-01,28.48557
2006-07-01,28.539196
2006-08-01,28.905582
2006-09-01,29.28125
2006-10-01,29.151611
2006-11-01,28.532713
2006-12-01,27.601643
2007-01-01,27.057325
2007-02-01,26.84324
2007-03-01,27.064001
2007-04-01,27.554504
2007-05-01,28.09374
2007-06-01,28.4365
2007-07-01,28.664335
2007-08-01,28.652168
2007-09-01,28.861275
2007-10-01,28.74869
2007-11-01,28.111132
2007-12-01,27.399427
2008-01-01,26.661688
2008-02-01,26.646881
2008-03-01,26.494839
2008-04-01,26.894196
2008-05-01,27.671247
2008-06-01,28.071692
2008-07-01,28.315735
2008-08-01,28.97857
2008-09-01,29.102987
2008-10-01,28.77906
2008-11-01,28.06283
2008-12-01,27.0306
2009-01-01,26.520975
2009-02-01,26.00531
2009-03-01,26.039278
2009-04-01,26.88
2009-05-01,27.520422
2009-06-01,28.232103
2009-07-01,28.71465
2009-08-01,28.841583
2009-09-01,29.193619
2009-10-01,29.0578
2009-11-01,28.503132
2009-12-01,27.91639
2010-01-01,27.075012
2010-02-01,27.196028
2010-03-01,27.314566
2010-04-01,27.80169
2010-05-01,28.336264
2010-06-01,28.683544
2010-07-01,28.949165
2010-08-01,29.144045
2010-09-01,29.069956
2010-10-01,28.822313
2010-11-01,28.047367
2010-12-01,27.008335
2011-01-01,26.550493
2011-02-01,26.5538
2011-03-01,26.539225
2011-04-01,27.340181
2011-05-01,27.86212
2011-06-01,28.440094
2011-07-01,28.682545
2011-08-01,29.000101
2011-09-01,29.14467
2011-10-01,28.751598
2011-11-01,28.303995
2011-12-01,27.473509
2012-01-01,26.768173
2012-02-01,26.567396
2012-03-01,26.61156
2012-04-01,27.29098
2012-05-01,27.96786
2012-06-01,28.57417
2012-07-01,28.625698
2012-08-01,28.885845
2012-09-01,29.106602
2012-10-01,28.999508
2012-11-01,28.330692
2012-12-01,27.67686
2013-01-01,27.028385
2013-02-01,26.816277
2013-03-01,26.725904
2013-04-01,27.236944
2013-05-01,27.731266
2013-06-01,27.955965
2013-07-01,28.252426
2013-08-01,28.746084
2013-09-01,29.105255
2013-10-01,29.120768
2013-11-01,28.561077
2013-12-01,27.784267
2014-01-01,27.154583
2014-02-01,26.959612
2014-03-01,27.244064
2014-04-01,27.533722
2014-05-01,27.97412
2014-06-01,28.40209
2014-07-01,28.626913
2014-08-01,28.966574
2014-09-01,28.902483
2014-10-01,29.015862
2014-11-01,28.483904
2014-12-01,27.83864
2015-01-01,27.270767
2015-02-01,27.06449
2015-03-01,27.107697
2015-04-01,27.631086
2015-05-01,28.19201
2015-06-01,28.364683
2015-07-01,28.65652
2015-08-01,29.135397
2015-09-01,29.62219
2015-10-01,29.504816
2015-11-01,28.99767
2015-12-01,28.295986
2016-01-01,27.864384
2016-02-01,27.301306
2016-03-01,27.365736
2016-04-01,27.869509
2016-05-01,28.597235
2016-06-01,28.9555
2016-07-01,29.052769
2016-08-01,29.336725
2016-09-01,29.566698
2016-10-01,29.35856
2016-11-01,28.63631
2016-12-01,27.882486
2017-01-01,27.112253
2017-02-01,26.93773
2017-03-01,27.083324
2017-04-01,27.553804
2017-05-01,28.140993
2017-06-01,28.550173
2017-07-01,28.811695
2017-08-01,29.225653
2017-09-01,29.607199
2017-10-01,29.14101
2017-11-01,28.675314
2017-12-01,27.860893
2018-01-01,27.124615
2018-02-01,26.683512
2018-03-01,26.789753
2018-04-01,27.429289
2018-05-01,27.905422
2018-06-01,28.138762
2018-07-01,28.543512
2018-08-01,28.897898
2018-09-01,29.297874
2018-10-01,28.715439
2018-11-01,28.388847
2018-12-01,27.731373
2019-01-01,27.017273
2019-02-01,26.83593
2019-03-01,26.75858
2019-04-01,27.292198
2019-05-01,27.920515
2019-06-01,28.536137
2019-07-01,28.746796
2019-08-01,29.0302
2019-09-01,29.361317
2019-10-01,29.208769
2019-11-01,28.679508
2019-12-01,27.95614
2020-01-01,27.496538
2020-02-01,27.317476
2020-03-01,27.17575
2020-04-01,27.831812
2020-05-01,28.52337
2020-06-01,28.771524
2020-07-01,29.159224
2020-08-01,29.32636
2020-09-01,29.374805
2020-10-01,29.114862
2020-11-01,28.396038
2020-12-01,27.797028
2021-01-01,27.15301
2021-02-01,26.847633
2021-03-01,26.820536
2021-04-01,27.28052
2021-05-01,28.035782
2021-06-01,28.301853
2021-07-01,28.615725
2021-08-01,28.979982
2021-09-01,29.179018
2021-10-01,29.131826
2021-11-01,28.57368
2021-12-01,27.760859
2022-01-01,27.195446
2022-02-01,26.952517
2022-03-01,26.988787
2022-04-01,27.422274
2022-05-01,27.91117
2022-06-01,28.141886
2022-07-01,28.522764
2022-08-01,28.896046
2022-09-01,29.186398
2022-10-01,28.9574
2022-11-01,28.54924
2022-12-01,27.556726
2023-01-01,26.993868
2023-02-01,26.634855
2023-03-01,26.896484
2023-04-01,27.65625
2023-05-01,28.555643
2023-06-01,29.257898
2023-07-01,29.397976
2023-08-01,29.693123
2023-09-01,30.142721
2023-10-01,30.094189
2023-11-01,29.22696
2023-12-01,28.291912
2024-01-01,27.712269
2024-02-01,27.4179
2024-03-01,27.78624
2024-04-01,28.202223
2024-05-01,29.13058
2024-06-01,29.39881
2024-07-01,29.455166
2024-08-01,29.734016
2024-09-01,29.994978
2024-10-01,29.983898
2024-11-01,29.023853
2024-12-01,28.312431
